,d,error_probability,logical_error_rate,logical_error_rate_eb,bias,n_run,code
0,15,0.25,0.05870833333333336,0.0004798509531204958,50.0,240000,XXXZZZ
1,21,0.25,0.035050000000000026,0.0003753969981899164,50.0,240000,XXXZZZ
2,27,0.25,0.019966666666666688,0.00028554041518444247,50.0,240000,XXXZZZ
3,33,0.25,0.01213333333333333,0.00022347739963617826,50.0,240000,XXXZZZ
4,39,0.25,0.007525000000000004,0.0001764035899932312,50.0,240000,XXXZZZ
5,15,0.25,0.04017499999999996,0.0004909236789906856,100.0,160000,XXXZZZ
6,21,0.25,0.019774999999999987,0.0003480656311584784,100.0,160000,XXXZZZ
7,27,0.25,0.011062499999999975,0.00026148758447761407,100.0,160000,XXXZZZ
8,33,0.25,0.005562500000000026,0.00018593612131841854,100.0,160000,XXXZZZ
9,39,0.25,0.0032999999999999696,0.0001433769071363998,100.0,160000,XXXZZZ
10,15,0.25,0.021050000000000013,0.0003588775687821685,1000.0,160000,XXXZZZ
11,21,0.25,0.008375000000000021,0.00022782750293533511,1000.0,160000,XXXZZZ
12,27,0.25,0.0031250000000000444,0.0001395357117147803,1000.0,160000,XXXZZZ
13,33,0.25,0.0013499999999999623,9.179384170520245e-05,1000.0,160000,XXXZZZ
14,39,0.25,0.000587499999999963,6.057819552807156e-05,1000.0,160000,XXXZZZ
15,45,0.25,0.00477777777777777,0.0002298538331994667,50.0,90000,XXXZZZ
