,d,error_probability,logical_error_rate,logical_error_rate_eb,bias,n_run,code
0,15,0.25,0.062327272727272676,0.000728900690340366,50.0,110000,XZZX
1,21,0.25,0.040527272727272745,0.0005945572293928407,50.0,110000,XZZX
2,27,0.25,0.025472727272727314,0.0004750489681746367,50.0,110000,XZZX
3,33,0.25,0.0157272727272727,0.00037513543760081064,50.0,110000,XZZX
4,39,0.25,0.01085454545454545,0.00031242052513065635,50.0,110000,XZZX
5,15,0.25,0.04115000000000002,0.0009931852483298373,100.0,40000,XZZX
6,21,0.25,0.024599999999999955,0.0007745133956233417,100.0,40000,XZZX
7,27,0.25,0.0131,0.0005685153911724818,100.0,40000,XZZX
8,33,0.25,0.008600000000000052,0.00046168279153548846,100.0,40000,XZZX
9,39,0.25,0.005650000000000044,0.00037476917896219945,100.0,40000,XZZX
10,15,0.25,0.022050000000000014,0.000734230847554092,1000.0,40000,XZZX
11,21,0.25,0.008299999999999974,0.0004536273250147078,1000.0,40000,XZZX
12,27,0.25,0.00385000000000002,0.0003096440496763994,1000.0,40000,XZZX
13,33,0.25,0.0020499999999999963,0.00022615246516454314,1000.0,40000,XZZX
14,39,0.25,0.0008500000000000174,0.000145711830336457,1000.0,40000,XZZX
