,code,n_k_d,time_steps,error_model,decoder,error_probability,measurement_error_probability,n_run,n_success,n_fail,n_logical_commutations,custom_totals,error_weight_total,error_weight_pvar,logical_failure_rate,physical_error_rate,wall_time,n,k,d,bias,decoder_chi
0,XZZX,"[225, 1, 15]",1,"Biased-depolarizing (bias=1000, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,1000,980,20,20,,56765,44.315775,0.02,0.2522888888888889,422.37032564356923,225,1,15,1000.0,12.0
1,XZZX,"[225, 1, 15]",1,"Biased-depolarizing (bias=1000, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,1000,980,20,0,,56765,44.315775,0.02,0.2522888888888889,422.37032564356923,225,1,15,1000.0,12.0
0,XZZX,"[441, 1, 21]",1,"Biased-depolarizing (bias=1000, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,1000,989,11,9,,110680,84.0496,0.011,0.2509750566893424,1106.4644358828664,441,1,21,1000.0,12.0
1,XZZX,"[441, 1, 21]",1,"Biased-depolarizing (bias=1000, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,1000,989,11,2,,110680,84.0496,0.011,0.2509750566893424,1106.4644358828664,441,1,21,1000.0,12.0
0,XZZX,"[729, 1, 27]",1,"Biased-depolarizing (bias=1000, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,1000,998,2,2,,182170,138.7191,0.002,0.2498902606310014,2148.069672083482,729,1,27,1000.0,12.0
1,XZZX,"[729, 1, 27]",1,"Biased-depolarizing (bias=1000, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,1000,998,2,0,,182170,138.7191,0.002,0.2498902606310014,2148.069672083482,729,1,27,1000.0,12.0
0,XZZX,"[1089, 1, 33]",1,"Biased-depolarizing (bias=1000, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,1000,1000,0,0,,271965,218.633775,0.0,0.2497382920110193,3482.695699343458,1089,1,33,1000.0,12.0
1,XZZX,"[1089, 1, 33]",1,"Biased-depolarizing (bias=1000, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,1000,1000,0,0,,271965,218.633775,0.0,0.2497382920110193,3482.695699343458,1089,1,33,1000.0,12.0
0,XZZX,"[1521, 1, 39]",1,"Biased-depolarizing (bias=1000, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,1000,1000,0,0,,379575,289.874375,0.0,0.24955621301775147,5214.272414188832,1521,1,39,1000.0,12.0
1,XZZX,"[1521, 1, 39]",1,"Biased-depolarizing (bias=1000, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,1000,1000,0,0,,379575,289.874375,0.0,0.24955621301775147,5214.272414188832,1521,1,39,1000.0,12.0
0,XZZX,"[225, 1, 15]",1,"Biased-depolarizing (bias=1000, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,1000,977,23,19,,56149,43.778799,0.023,0.2495511111111111,444.9376688450575,225,1,15,1000.0,12.0
1,XZZX,"[225, 1, 15]",1,"Biased-depolarizing (bias=1000, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,1000,977,23,4,,56149,43.778799,0.023,0.2495511111111111,444.9376688450575,225,1,15,1000.0,12.0
0,XZZX,"[441, 1, 21]",1,"Biased-depolarizing (bias=1000, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,1000,991,9,7,,110219,83.627039,0.009,0.2499297052154195,1157.2095641344786,441,1,21,1000.0,12.0
1,XZZX,"[441, 1, 21]",1,"Biased-depolarizing (bias=1000, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,1000,991,9,2,,110219,83.627039,0.009,0.2499297052154195,1157.2095641344786,441,1,21,1000.0,12.0
0,XZZX,"[729, 1, 27]",1,"Biased-depolarizing (bias=1000, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,1000,998,2,1,,182077,153.263071,0.002,0.24976268861454048,2206.42564683035,729,1,27,1000.0,12.0
1,XZZX,"[729, 1, 27]",1,"Biased-depolarizing (bias=1000, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,1000,998,2,1,,182077,153.263071,0.002,0.24976268861454048,2206.42564683035,729,1,27,1000.0,12.0
0,XZZX,"[1089, 1, 33]",1,"Biased-depolarizing (bias=1000, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,1000,999,1,1,,273018,213.567676,0.001,0.25070523415977963,3608.5456455759704,1089,1,33,1000.0,12.0
1,XZZX,"[1089, 1, 33]",1,"Biased-depolarizing (bias=1000, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,1000,999,1,0,,273018,213.567676,0.001,0.25070523415977963,3608.5456455759704,1089,1,33,1000.0,12.0
0,XZZX,"[1521, 1, 39]",1,"Biased-depolarizing (bias=1000, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,1000,1000,0,0,,381208,282.242736,0.0,0.25062984878369493,5416.841405175626,1521,1,39,1000.0,12.0
1,XZZX,"[1521, 1, 39]",1,"Biased-depolarizing (bias=1000, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,1000,1000,0,0,,381208,282.242736,0.0,0.25062984878369493,5416.841405175626,1521,1,39,1000.0,12.0
0,XZZX,"[225, 1, 15]",1,"Biased-depolarizing (bias=50, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,1000,936,64,47,,56443,45.012751,0.064,0.2508577777777778,449.77327851578593,225,1,15,50.0,12.0
1,XZZX,"[225, 1, 15]",1,"Biased-depolarizing (bias=50, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,1000,936,64,20,,56443,45.012751,0.064,0.2508577777777778,449.77327851578593,225,1,15,50.0,12.0
0,XZZX,"[441, 1, 21]",1,"Biased-depolarizing (bias=50, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,1000,965,35,26,,110605,85.504975,0.035,0.2508049886621315,1171.4542358852923,441,1,21,50.0,12.0
1,XZZX,"[441, 1, 21]",1,"Biased-depolarizing (bias=50, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,1000,965,35,9,,110605,85.504975,0.035,0.2508049886621315,1171.4542358852923,441,1,21,50.0,12.0
