,code,n_k_d,time_steps,error_model,decoder,error_probability,measurement_error_probability,n_run,n_success,n_fail,n_logical_commutations,custom_totals,error_weight_total,error_weight_pvar,logical_failure_rate,physical_error_rate,wall_time,n,k,d,bias,decoder_chi
0,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0.0,3000,2981,19,12,,1139191,285.9902798888889,0.006333333333333333,0.24998705288567039,5048.91770176962,1519,1,45,50.0,8.0
1,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0.0,3000,2981,19,8,,1139191,285.9902798888889,0.006333333333333333,0.24998705288567039,5048.91770176962,1519,1,45,50.0,8.0
0,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0.0,3000,2977,23,16,,1140416,276.4121048888889,0.007666666666666666,0.25025587008997147,6502.608134726994,1519,1,45,50.0,8.0
1,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0.0,3000,2977,23,8,,1140416,276.4121048888889,0.007666666666666666,0.25025587008997147,6502.608134726994,1519,1,45,50.0,8.0
0,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0.0,3000,2968,32,12,,1138462,278.8665062222222,0.010666666666666666,0.24982707921878428,6524.009319533128,1519,1,45,50.0,8.0
1,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0.0,3000,2968,32,21,,1138462,278.8665062222222,0.010666666666666666,0.24982707921878428,6524.009319533128,1519,1,45,50.0,8.0
0,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0.0,3000,2977,23,13,,1140345,276.95844166666666,0.007666666666666666,0.25024028966425277,6447.422209677985,1519,1,45,50.0,8.0
1,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0.0,3000,2977,23,11,,1140345,276.95844166666666,0.007666666666666666,0.25024028966425277,6447.422209677985,1519,1,45,50.0,8.0
0,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0.0,3000,2965,35,17,,1139559,266.18205766666665,0.011666666666666667,0.2500678077682686,6505.2787051917985,1519,1,45,50.0,8.0
1,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0.0,3000,2965,35,19,,1139559,266.18205766666665,0.011666666666666667,0.2500678077682686,6505.2787051917985,1519,1,45,50.0,8.0
0,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0.0,3000,2961,39,24,,1138742,291.83215955555556,0.013,0.24988852315119595,5060.479860473424,1519,1,45,50.0,8.0
1,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0.0,3000,2961,39,17,,1138742,291.83215955555556,0.013,0.24988852315119595,5060.479860473424,1519,1,45,50.0,8.0
0,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0.0,3000,2975,25,15,,1141211,277.2387198888889,0.008333333333333333,0.25043032696949746,6613.184455559123,1519,1,45,50.0,8.0
1,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0.0,3000,2975,25,10,,1141211,277.2387198888889,0.008333333333333333,0.25043032696949746,6613.184455559123,1519,1,45,50.0,8.0
0,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0.0,3000,2976,24,14,,1138800,283.16,0.008,0.24990125082290982,6712.424413334113,1519,1,45,50.0,8.0
